Date,Open,High,Low,Close,Volume
2024-01-01 00:00:00,101.77,102.19,99.38,100.85,330701.0
2024-01-02 00:00:00,102.65,102.95,100.5,100.74,289687.0
2024-01-03 00:00:00,100.41,103.12,100.18,101.81,440634.0
2024-01-04 00:00:00,104.76,106.2,104.07,104.19,235683.0
2024-01-05 00:00:00,103.29,104.1,101.37,103.94,368182.0
2024-01-08 00:00:00,103.2,105.57,101.7,,419940.0
2024-01-09 00:00:00,105.57,106.36,104.8,106.16,275972.0
2024-01-10 00:00:00,106.55,108.54,105.88,107.41,126656.0
2024-01-11 00:00:00,106.86,108.3,106.04,106.81,27087.0
2024-01-12 00:00:00,106.89,109.48,105.32,107.72,415821.0
2024-01-15 00:00:00,107.4,108.85,105.77,107.13,303481.0
2024-01-16 00:00:00,106.48,108.15,106.03,106.53,146554.0
2024-01-17 00:00:00,106.75,107.74,106.32,106.99,
2024-01-18 00:00:00,103.31,105.87,103.03,104.22,495757.0
2024-01-19 00:00:00,101.16,101.99,99.8,101.73,491512.0
2024-01-22 00:00:00,101.74,103.54,99.44,100.99,192024.0
2024-01-23 00:00:00,100.07,101.21,98.97,99.57,146535.0
2024-01-24 00:00:00,99.16,101.79,99.02,100.14,253236.0
2024-01-25 00:00:00,98.98,99.94,98.62,98.88,80448.0
2024-01-26 00:00:00,97.61,98.94,94.92,96.86,14648.0
2024-01-29 00:00:00,N/A,100.26,96.83,99.16,402720.0
2024-01-30 00:00:00,99.46,100.95,97.36,98.92,305767.0
2024-01-31 00:00:00,98.46,99.38,97.17,99.12,462372.0
2024-02-01 00:00:00,97.66,97.87,96.26,97.09,45634.0
2024-02-02 00:00:00,95.61,96.94,95.11,96.37,447818.0
2024-02-05 00:00:00,94.83,97.04,94.5,96.63,386742.0
2024-02-06 00:00:00,93.38,96.76,92.11,95.01,321478.0
2024-02-07 00:00:00,95.72,96.24,94.1,95.67,340792.0
2024-02-08 00:00:00,95.13,97.08,93.55,94.87,32054.0
2024-02-09 00:00:00,93.63,95.27,92.52,94.53,80028.0
not_a_date,94.37,94.82,93.55,93.73,32207.0
2024-02-13 00:00:00,94.95,98.21,93.01,96.61,483866.0
2024-02-14 00:00:00,96.62,98.04,95.01,96.69,240893.0
2024-02-15 00:00:00,93.99,96.25,93.34,95.2,91554.0
2024-02-16 00:00:00,95.88,97.69,93.92,96.54,162458.0
2024-02-19 00:00:00,94.85,96.32,93.56,94.8,93276.0
2024-02-20 00:00:00,94.36,95.75,93.15,95.22,462734.0
2024-02-21 00:00:00,91.99,94.37,90.47,92.38,324925.0
2024-02-22 00:00:00,91.49,93.44,88.84,90.49,193852.0
2024-02-23 00:00:00,90.3,92.22,88.96,90.88,202512.0
2024-02-26 00:00:00,92.93,93.4,91.75,92.09,-500.0
2024-02-27 00:00:00,91.32,93.84,90.57,92.45,333179.0
2024-02-28 00:00:00,92.9,93.14,90.51,92.37,18210.0
2024-02-29 00:00:00,93.46,93.62,91.49,92.02,54363.0
2024-03-01 00:00:00,87.43,90.49,86.62,89.9,252247.0
2024-03-04 00:00:00,88.13,89.9,87.21,88.92,88279.0
2024-03-05 00:00:00,88.91,90.66,87.4,88.33,201420.0
2024-03-06 00:00:00,89.82,91.5,88.55,90.02,196356.0
2024-03-07 00:00:00,91.01,92.52,88.74,90.63,213196.0
2024-03-08 00:00:00,87.49,89.0,86.93,88.09,209919.0
2024-03-11 00:00:00,88.76,83.34,88.34,88.68,425648.0
2024-03-12 00:00:00,88.04,89.0,87.57,88.2,267324.0
2024-03-13 00:00:00,88.45,90.43,85.5,87.28,205161.0
2024-03-14 00:00:00,88.55,88.73,86.97,88.3,458614.0
2024-03-15 00:00:00,90.28,92.03,89.3,89.95,240363.0
